excluded	beta_loo	se_loo	p_loo
rs2189574	-2.518855968048041	3.104785949785934	0.41720392701424236
rs2713546	-2.7745831680603765	3.051862573289368	0.36327401217813904
rs263071	-3.351108180698994	3.155005962744312	0.28816491883397455
rs4383974	-3.091669822117901	3.0561026364940185	0.3117111286084002
rs3088186	-3.87389708399781	3.0507450782653134	0.20414875851423842
rs755856	-2.857769611470278	3.023531047043147	0.3445689235837782
rs7733216	-1.7298653719218129	3.0978208982312436	0.5765619766547869
rs12911569	-3.1274627772264383	3.107754730145773	0.3142512897476072
rs78404854	-3.268498054416442	3.21527912518923	0.30936665328171664
rs12550039	-3.0331011124187186	3.0120341329255473	0.3139375278471843
rs2409797	-3.9433662806189043	3.001951762452363	0.18898057444684813
rs17719345	-1.955505580607689	3.0810211691095097	0.5256280222907057
