gene,cancer,role,blast_expr,normal_expr,suppression_pct,pval_supp,result
PAX5,B-ALL,SWITCH,0.0,0.1819,100.0,0.07113006422831318,PARTIAL
EBF1,B-ALL,SWITCH,0.4986,0.2432,-105.0,0.9556786122317928,INVERTED
IKZF1,B-ALL,SWITCH,0.0866,0.2005,56.8,0.20899945714869228,PARTIAL
CD19,B-ALL,SWITCH,0.0866,0.2447,64.6,0.16436389080103075,PARTIAL
MS4A1,B-ALL,SWITCH,0.0,0.1668,100.0,0.11749162427954829,PARTIAL
CD34,B-ALL,SCAFFOLD,0.0866,0.0554,-56.3,0.7350448572425963,SCAFFOLD
MKI67,B-ALL,SCAFFOLD,0.0,0.3588,100.0,0.034820272905721594,SCAFFOLD
CEBPA,B-ALL,CONTROL,0.0,0.0426,100.0,0.2468625652363448,CONTROL UNEXPECTED
SFTPC,B-ALL,CONTROL,0.0,0.0,0.0,1.0,CONTROL OK
CDX2,B-ALL,CONTROL,0.0,0.0,0.0,1.0,CONTROL OK
