seg_lat,seg_lon,n_total,n_migration,mean_disp_deg,mean_opp_deg,mean_resultant_bearing,approach_corridor_bearing,risk_score
29.2,-81.0,1076,918,91.94,96.65,258.2,78.2,937.8
28.4,-80.6,1472,1030,78.06,86.65,272.2,92.2,893.3
29.0,-80.9,1003,825,96.18,104.64,253.4,73.4,881.7
29.1,-80.9,709,593,120.55,129.92,229.6,49.6,794.3
29.3,-81.0,574,502,116.76,122.12,233.3,53.3,651.3
31.1,-81.4,639,515,78.83,94.63,270.8,90.8,451.1
30.8,-81.5,370,290,130.26,137.85,219.5,39.5,419.7
30.9,-81.4,493,415,87.81,103.52,261.9,81.9,404.9
28.3,-80.6,783,579,62.0,68.77,288.3,108.3,398.8
27.3,-80.2,657,377,87.03,101.27,263.5,83.5,364.6
30.4,-81.4,395,317,96.0,103.73,253.8,73.8,338.2
30.7,-81.5,265,200,151.55,154.06,197.2,17.2,336.8
30.3,-81.4,446,388,71.96,77.67,278.1,98.1,310.2
30.7,-81.4,354,267,102.87,105.39,246.1,66.1,305.2
28.1,-80.6,573,415,65.57,73.87,285.2,105.2,302.3
29.1,-81.0,352,306,87.51,98.51,262.6,82.6,297.5
27.2,-80.2,487,312,81.64,100.24,268.9,88.9,283.0
30.8,-81.4,280,229,106.7,119.3,243.0,63.0,271.5
31.0,-81.4,362,312,77.41,92.91,272.3,92.3,268.3
37.1,-76.0,431,373,61.4,78.29,285.9,105.9,254.5
