year,mean_q_loss,n_quarters,sum_q_loss,annualized_index,is_partial,mean_nat,n_nat,annualized_nat,gap,data_quality
2015,3.5,4,14.0,14.0,False,12.5,4,50.0,36.0,complete
2016,3.25,4,13.0,13.0,False,12.25,4,49.0,36.0,complete
2017,3.5999999999999996,4,14.399999999999999,14.399999999999999,False,12.25,4,49.0,34.6,complete
2018,3.65,4,14.6,14.6,False,13.75,4,55.0,40.4,complete
2019,4.074999999999999,4,16.299999999999997,16.299999999999997,False,12.75,4,51.0,34.7,complete
2020,4.375,4,17.5,17.5,False,11.75,4,47.0,29.5,complete
2021,5.875,4,23.5,23.5,False,11.75,4,47.0,23.5,complete
2022,7.325,4,29.3,29.3,False,12.0,4,48.0,18.7,complete
2023,8.7,4,34.8,34.8,False,11.5,4,46.0,11.200000000000003,complete
2024,8.5,3,25.5,34.0,True,12.25,4,49.0,15.0,partial_3q
